	sentiment	text	perplexity
9	negative	 Wir waren in diesem Hotel. Im ersten Moment war das Hotel schön, aber dann haben wir uns auf der Terrasse in der Mitte mit den vielen Mücken aufgehalten. Die Einrichtung war schon alt und altbacken. Wir haben es nicht genutzt. Es war sehr laut und laut. Das Zimmer war sehr klein. Das Bad war dreckig. Die Dusche war dreckig und auch die Toilette war dreckig. Es gab keine Klimaanlage. Wir haben uns beschwert und wurden sogar auf den Nachbarflur geschickt. Wir haben das Hotel gewechselt. Die Mitarbeiter an der	1.0651409050901406
4	negative	 Wir waren in diesem Hotel. Das Hotel liegt direkt am Strand, was uns sehr gestört hat. Es gab keine Liegen und es gab nur einen Platz. Die Zimmer waren klein und hellhörig. Wir hatten ein Familienzimmer mit Verbindungstür, welches nur durch eine kleine Schiebetür zu öffnen war. Die Matratzen waren durchgelegen. Der Kühlschrank war nicht zu benutzen. Das Essen war nicht gut. Es gab keine Auswahl an Obst und Gemüse. Die Auswahl war eher gering. Es gab keine Snacks. Wir hatten Halbpension gebucht. Das Frühstück war	1.0680220889520378
5	negative	" Wir waren in diesem Hotel. Im Hauptrestaurant waren die Tische in einer ""Welle"""" zusammen geschoben. Der Speisesaal war nicht gerade einladend. Es gab eine riesige Auswahl an Speisen, aber nicht immer die gewünschte Qualität. Die Speisen waren sehr fettig. Es gab nur eine Sorte Fleisch und eine Sorte Gemüse. Der Fisch war immer sehr trocken und nicht gerade schmackhaft. Die Auswahl an Salaten war sehr gering. Es gab nur eine Sorte Fleisch und eine Sorte Gemüse. Es gab keine frischen Salate. Das Essen war kalt und war"	1.0702605281262112
2	negative	 Wir waren in diesem Hotel. Das Hotel ist ein wenig in die Jahre gekommen. Es ist sehr laut. Es gibt viele laute Treppen. Es gibt keinen Fahrstuhl. Das Zimmer war sauber. Die Klimaanlage funktionierte nicht. Das Bad war klein und schmutzig. Die Zimmer waren sehr hellhörig. Der Safe war nicht im Zimmer. Der Fernseher war defekt. Das Zimmer war ziemlich klein. Das Zimmer war sehr hellhörig. Die Zimmerreinigung war nicht gut. Es gab nur eine Tür, die nur für die Gäste offen war. Die Zimmer	1.0738716482007087
6	negative	 Wir waren in diesem Hotel.Die Anlage ist in einem guten Zustand. Das Hotel ist nicht sehr groß. Die Zimmer sind sauber. Das Personal ist sehr freundlich. Die Animation ist sehr schlecht. Die Kinderanimation ist schlecht. Es gab keine Kinderdisco. Die Animation war sehr schlecht. Die Kinderanimation war sehr schlecht. Die Animateure waren sehr nett. Das Hotel hat einen großen Pool. Das Hotel ist sehr sauber. Es gibt einen kleinen Fitnessraum. Das Hotel hat einen sehr großen Fitnessraum. Die Animation war sehr	1.0757650481164316
3	negative	 Wir waren in diesem Hotel. Die Anlage ist wunderschön. Die Anlage ist schön angelegt und gepflegt. Das Personal ist sehr freundlich und zuvorkommend. Das Essen ist eine Katastrophe. Das Essen ist nicht sehr abwechslungsreich. Die Speisen sind ungenießbar. Die Getränke sind nur mit Wasser verdünnt. Die Tische werden nur mit einem Besen abgeräumt. Die Speisen sind kalt und nicht sehr schmackhaft. Die Getränke sind nicht sehr preiswert. Das Personal ist sehr unfreundlich und spricht nur gebrochen Deutsch. Das Hotel hat ein Hauptrestaurant und ein Spezialitätenrestaurant. Es	1.0782461417590328
7	negative	 Wir waren in diesem Hotel. Das Hotel ist eine Frechheit. Man kann in diesem Hotel nichts machen. Im Gegenteil. Es gibt einen Pool, der sehr klein ist. Es gibt keinen Fernseher. Der Pool ist sehr schmutzig. Das Essen ist eine Katastrophe. Die Speisen sind einfach ungenießbar. Das Essen ist eine Katastrophe. Es ist nicht abwechslungsreich. Es ist eine reine Katastrophe. Das Frühstück ist eine Katastrophe. Es gibt nur Brötchen und Toast. Das Abendessen ist eine Katastrophe. Es gibt jeden Tag das selbe. Das Personal ist	1.0837043098550563
0	negative	 Wir waren in diesem Hotel. Wir hatten einen sehr schönen Urlaub. Die Zimmer sind einfach eingerichtet und sauber. Die Sauberkeit ist gut. Die Einrichtung ist alt und verwohnt. Das Bad ist nicht sauber. Die Matratzen sind hart. Die Duschkabine ist nicht gerade groß. Das Bad ist sehr hellhörig. Die Klimaanlage ist auch sehr laut. Die Minibar ist auch sehr klein. Das Personal ist sehr unfreundlich. Das Hotel hat ein sehr gutes Preis-Leistungsverhältnis. Die Sauberkeit im Zimmer ist sehr gut. Die Zimmer sind recht hellhör	1.0859963547926879
1	negative	 Wir waren in diesem Hotel. Wir haben uns von der ersten Minute an sehr wohl gefühlt. Der Pool war sauber und schön. Die Zimmer waren zweckmäßig eingerichtet. Die Klimaanlage war nicht vorhanden. Es gab keinen Kühlschrank. Die Handtücher wurden jeden Tag gewechselt. Das Zimmer war mit einer Klimaanlage ausgestattet. Die Betten waren sehr beqüm. Die Handtücher wurden jeden Tag gewechselt. Die Sauberkeit im Zimmer war nicht gegeben. Die Betten waren durchgelegen. Die Dusche war defekt. Das Bett war nicht ausreichend. Das Bett war dreckig. Die Bettwäsche	1.11669326108547
8	negative	 Wir waren in diesem Hotel. Leider war das Zimmer sehr klein. Wir haben uns an den Balkon gestellt und das Bad hatte eine kleine Badewanne. Leider war die Dusche sehr klein. Wir hatten das Gefühl, dass die Dusche sehr schmutzig war. Wir haben uns in dem Bad sehr wohl gefühlt. Das Badezimmer war sehr klein. Das Bett war nicht beqüm. Die Betten waren sehr hart. Wir haben es uns dann mit einem Kissen gemütlich gemacht. Das Bett war sehr unbeqüm. Die Bettwäsche wurde nicht gewechselt. Wir haben uns dann	1.189439773927386
