	sentiment	text	perplexity
9	negative	 Wir waren in diesem Hotel. Das Essen war eine Zumutung. Es gab nur eine Sorte Fleisch, das nicht durchgegart war. Das Fleisch war so trocken, dass es aussah als wäre es schon aufgeweicht. Es gab jeden Tag das selbe. Die Atmosphäre war sehr schlecht. Es gab keinen Service. Es gab nur einen Kellner, der sich um die Gäste kümmerte. Der war auch sehr unfreundlich. Es gab kein warmes Essen. Es gab nur eine Sorte Wurst. Das Brot war eine Zumutung. Es gab kein frisches Brot	1.0573709276883523
0	negative	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist heruntergekommen. Das Personal ist unfreundlich. Die Zimmer sind sehr alt und abgewohnt. Das Essen ist ungenießbar. Die Zimmer sind sehr klein und es gibt keine Klimaanlage. Das Personal ist unfreundlich und unmotiviert. Das Zimmer ist sehr alt und schmutzig. Das Essen ist ungenießbar. Das Personal ist unfreundlich und unmotiviert. Das Hotel ist sehr alt und veraltet. Das Essen ist ungenießbar. Das Personal ist sehr unfreundlich und un	1.0575606042675503
1	negative	 Wir waren in diesem Hotel.Das Essen war ungenießbar. Es gab keine Abwechslung. Das Frühstück war sehr schlecht. Das Brot war hart und die Brötchen waren nicht frisch. Das Brot war nicht frisch und es gab keine Brötchen. Das Obst war auch nicht frisch. Es gab jeden Tag das gleiche. Das Brot war nicht frisch und die Brötchen waren nicht frisch. Das Obst war auch nicht frisch. Das Mittagessen war nicht gut. Es gab nur die Auswahl. Es gab jeden Tag das gleiche. Das Essen war nicht frisch und die Brötchen	1.0587197334708176
5	negative	 Wir waren in diesem Hotel.Das Essen war ungenießbar. Es gab jeden Tag das selbe. Die Auswahl war sehr gering. Das Personal war unfreundlich. Der Pool war sehr dreckig. Es gab keinen Pool zum Schwimmen. Es gab keinen Pool zum Schwimmen. Es gab nur eine Wassertemperatur. Das Wasser wurde nicht gereinigt. Das Personal war sehr unfreundlich. Die Poolbar war nicht sauber. Es gab keine Getränke an der Poolbar. Es gab keine Getränke an der Poolbar. Das Essen war ungenießbar. Es	1.0592987345821723
3	negative	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Es gab nur eine Sorte Wurst, die war nicht frisch und nicht frisch zubereitet. Der Nachtisch war sehr klein. Die Getränke waren ungenießbar. Es gab nur eine Sorte Wasser, das Wasser schmeckte nicht. Das Bier war ungenießbar. Es gab nur zwei Sorten Bier. Das Bier schmeckte nicht. Das Wasser war ungenießbar. Das Essen war ungenießbar. Es gab nur eine Sorte Fleisch. Das Fleisch war ungenießbar. Es gab	1.0597149702552218
6	negative	 Wir waren in diesem Hotel.Das Essen war ungenießbar, ungenießbar.Das Personal war sehr unfreundlich.Die meisten Gäste waren sehr schlecht ausgebildet.Die Sauberkeit im Restaurant war sehr schlecht. Die Tische wurden nur selten sauber gemacht.Die Tische wurden nicht sauber gemacht.Die Handtücher wurden nicht gewechselt.Das Geschirr war sehr schmutzig.Das Personal im Restaurant war sehr unfreundlich.Das Essen war ungenießbar.Das Personal im Restaurant war sehr unfreundlich.Die Tische wurden nicht sauber gemacht.Die Tische wurden nicht gereinigt.Das	1.0599630638006916
4	negative	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist in einem schlechten Zustand. Das Essen ist ungenießbar. Das Personal ist sehr unfreundlich. Das Personal im Speisesaal ist nicht in der Lage Deutsch zu sprechen. Die Zimmer sind sehr alt und es gibt nur ein sauberes Zimmer. Das Personal im Restaurant ist sehr unfreundlich. Das Essen ist ungenießbar. Die Tische und Stühle sind schmutzig. Das Personal an der Rezeption ist sehr unfreundlich. Die Kellner sind sehr unfreundlich. Die Zimmerreinigung ist auch nicht in Ordnung	1.0639096849807272
2	negative	 Wir waren in diesem Hotel. Das Personal ist unfreundlich und unmotiviert. Die Zimmerreinigung ist mangelhaft. Die Handtücher werden nur gewechselt wenn man sie auf den Boden wirft. Das Badezimmer ist sehr klein und das Bad wird nicht richtig gereinigt. Das Essen ist schlecht. Das Hotel ist sehr schmutzig. Es gibt nur eine Person die deutsch spricht. Der Speisesaal ist sehr schmutzig. Die Stühle sind dreckig und die Tische werden nur selten abgeräumt. Das Personal ist sehr unfreundlich und unmotiviert. Die Zimmerreinigung ist mangel	1.069419093125111
8	negative	 Wir waren in diesem Hotel. Das Essen war ungenießbar. Das Fleisch war sehr verkocht. Die Auswahl der Speisen war nicht vorhanden. Das Fleisch war sehr trocken. Das Personal war sehr unfreundlich. Das Essen war kalt und nicht genießbar. Die Sauberkeit im Restaurant war sehr schlecht. Das Personal hat sich nur noch mit einem Handgriff um den Tisch gekümmert. Es gab nur eine Bedienung. Die meisten waren sehr unfreundlich. Das Personal sprach nur Russisch. Die Zimmerreinigung war sehr schlecht. Die Handtücher wurden nur einmal gewechselt	1.0747315922537732
7	negative	 Wir waren in diesem Hotel. Das Personal ist unfreundlich und unmotiviert. Die Zimmer werden nicht gereinigt, Handtücher werden nicht gewechselt, das Badezimmer ist dreckig und die Toilettenspülung funktioniert nicht. Die Zimmer werden nur sehr oberflächlich gereinigt, wenn man sie nicht wie oben beschrieben mit einem Handtuch bedeckt. Es gibt keine Reinigung der Zimmer. Das Essen ist ungenießbar, die Auswahl der Speisen ist sehr klein und die Qualität der Speisen ist auch nicht gut. Es gibt eine große Anzahl an Russen, die aber sehr unfreundlich und un	1.0975326240250889
